SURVEY_ID,SURVEY_NM,DOMAIN_ID,INSTITUTION_ID,COLLECTION_GRADE,REGION_STAT,LABEL
112018,유아교육실태조사,교육·훈련,교육부,3,False,survey
210015,경기도주요관광지방문객실태조사,문화·여가,경기도,3,True,survey
706005,서천군여성통계,복지,충청남도 서천군,3,True,survey
210014,경기도영세자영업경영활동통계,경제일반·경기,경기도,4,True,survey
703003,예산군아동복지통계,복지,충청남도 예산군,3,True,survey
693005,보령시청년통계,사회일반,충청남도 보령시,3,True,survey
695006,서산시청년통계,사회일반,충청남도 서산시,4,True,survey
693004,보령시아동복지통계,복지,충청남도 보령시,4,True,survey
691006,천안시청년통계,사회일반,충청남도 천안시,4,True,survey
791007,창원시여성통계,복지,경상남도 창원시,3,True,survey
732004,여수시청년통계,사회일반,전라남도 여수시,4,True,survey
620006,고양시주거실태조사,주거,경기도 고양시,3,True,survey
461001,신용보증.매출채권보험통계,금융,신용보증기금,4,False,survey
672003,충주시1인세대통계,주거,충청북도 충주시,3,True,survey
205012,광주광역시청년통계,사회일반,광주광역시,3,True,survey
358004,바이오헬스산업실태조사,보건,한국보건산업진흥원,3,False,survey
441001,에너지기술기업실태조사,에너지,한국에너지기술평가원,3,False,survey
117110,보건의료인력실태조사,보건,보건복지부,4,False,survey
513003,"서대문구지역통계조사(평생학습,에너지환경분야)","교육·훈련, 환경",서울특별시 서대문구,4,True,survey
214010,전라북도지역사회보장조사,복지,전북특별자치도,4,True,survey
154023,여성폭력실태조사,범죄·안전,여성가족부,4,False,survey
204013,인천광역시청년통계,사회일반,인천광역시,3,True,survey
625005,시흥시다문화·외국인가구통계,사회일반,경기도 시흥시,3,True,survey
164003,사이버폭력실태조사,범죄·안전,방송통신위원회,3,False,survey
459001,수산종자생산업실태조사,수산,한국수산자원공단,3,False,survey
143005,농촌관광실태조사,농림,농촌진흥청,3,False,survey
114056,농축산식품산업실태조사,농림,농림축산식품부,3,False,survey
154022,위기청소년지원기관이용자생활실태조사,사회일반,여성가족부,4,False,survey
719002,무주군농업실태조사,농림,전북특별자치도 무주군,3,True,survey
808003,함양군전통시장조사,도소매·서비스,경상남도 함양군,3,True,survey
705004,당진시주거실태조사,주거,충청남도 당진시,3,True,survey
671004,청주시주거실태조사,주거,충청북도 청주시,4,True,survey
630005,파주시청년사회경제실태조사,경제일반·경기,경기도 파주시,3,True,survey
626003,군포시경력단절여성등의경제활동실태조사,복지,경기도 군포시,3,True,survey
152009,하도급거래실태조사,기업경영,공정거래위원회,3,False,survey
202019,부산광역시환경산업조사,환경,부산광역시,3,True,survey
106035,수돗물먹는실태조사,환경,환경부,3,False,survey
671003,청주시1인세대통계,주거,충청북도 청주시,3,True,survey
797006,김해시다문화·외국인가구통계,사회일반,경상남도 김해시,4,True,survey
210013,경기도경기종합지수,경제일반·경기,경기도,3,True,survey
706004,서천군아동복지통계,복지,충청남도 서천군,4,True,survey
703002,예산군노인복지통계,복지,충청남도 예산군,4,True,survey
698003,금산군아동복지통계,복지,충청남도 금산군,4,True,survey
695005,서산시여성통계,복지,충청남도 서산시,4,True,survey
693003,보령시노인통계,복지,충청남도 보령시,4,True,survey
693002,보령시여성통계,복지,충청남도 보령시,4,True,survey
113027,국제문화교류실태조사,문화.여가,문화체육관광부,4,False,survey
101092,육아휴직통계,노동,통계청,4,False,survey
210012,경기도특별사법경찰범죄통계,범죄·안전,경기도,4,True,survey
704003,태안군여성통계,복지,충청남도 태안군,4,True,survey
697003,계룡시여성통계,복지,충청남도 계룡시,4,True,survey
695004,서산시아동복지통계,복지,충청남도 서산시,4,True,survey
210011,경기도아동가구주거실태조사,주거,경기도,3,True,survey
799003,거제시청년통계,사회일반,경상남도 거제시,4,True,survey
612005,성남시장애인통계,복지,경기도 성남시,4,True,survey
116076,기계설비산업실태조사,건설,국토교통부,3,False,survey
127019,가상증강현실(VR·AR)산업실태조사,정보통신,과학기술정보통신부,3,False,survey
127018,온라인및오프라인결합서비스(O2O서비스)산업조사,정보통신,과학기술정보통신부,3,False,survey
113026,국민문화예술교육조사,문화.여가,문화체육관광부,3,False,survey
127017,블록체인산업실태조사,정보통신,과학기술정보통신부,3,False,survey
635006,여주시노인등록통계,복지,경기도 여주시,4,True,survey
639004,포천시다문화외국인가구통계,사회일반,경기도 포천시,4,True,survey
218016,제주일자리등록통계,노동,제주특별자치도,3,True,survey
201016,서울시아동가구주거실태조사,주거,서울특별시,4,True,survey
204012,인천광역시노인등록통계,복지,인천광역시,4,True,survey
146005,어업인의업무상질병및손상조사,수산,해양수산부,4,False,survey
142019,중소기업기본통계,기업경영,중소벤처기업부,3,False,survey
502003,서울특별시중구사회조사,사회일반,서울특별시 중구,3,True,survey
218015,제주특별자치도어가실태조사,수산,제주특별자치도,4,True,survey
218014,제주사업체생멸등록통계,기업경영,제주특별자치도,3,True,survey
804005,고성군귀농·귀촌실태조사,농림,경상남도 고성군,4,True,survey
136037,산림휴양복지활동조사,문화.여가,산림청,3,False,survey
101091,일자리이동통계,노동,통계청,4,False,survey
146004,해양관광산업통계조사,경제일반·경기,해양수산부,3,False,survey
736005,담양군농업실태조사,농림,전라남도 담양군,4,True,survey
117109,청소년건강패널조사,보건,질병관리청,3,False,survey
117108,장애인학대현황,복지,보건복지부,4,False,survey
136036,임산물소득조사,농림,산림청,3,False,survey
113025,문화체육관광일자리현황조사,문화.여가,문화체육관광부,3,False,survey
354006,비급여진료비용및제증명수수료통계,보건,건강보험심사평가원,4,False,survey
920023,국가정신건강현황,보건,보건복지부,3,False,survey
201015,서울특별시영세자영업경영활동통계,경제일반·경기,서울특별시,4,True,survey
452001,차상위및한부모가족수급자현황,복지,한국사회보장정보원,4,False,survey
700003,부여군노인복지통계,복지,충청남도 부여군,3,True,survey
117106,희귀질환등록통계,보건,질병관리청,4,False,survey
145014,위생용품산업현황,보건,식품의약품안전처,4,False,survey
110032,가뭄정보통계,환경,행정안전부,3,False,survey
101090,북한벼재배면적조사,농림,통계청,4,False,survey
705003,당진시청년통계,사회일반,충청남도 당진시,4,True,survey
704002,태안군노인복지통계,복지,충청남도 태안군,3,True,survey
702003,홍성군아동복지통계,복지,충청남도 홍성군,4,True,survey
698002,금산군노인복지통계,복지,충청남도 금산군,4,True,survey
568002,인천광역시서구영유아통계,보건,인천광역시 서구,4,True,survey
770006,경산시다문화‧외국인가구통계,사회일반,경상북도 경산시,3,True,survey
212008,충청북도청년통계,사회일반,충청북도,3,True,survey
451001,부산항해운항만산업실태조사,수산,부산항만공사,1,False,survey
117105,중증외상및다수사상조사,보건,질병관리청,3,False,survey
805005,남해군성인지통계,복지,경상남도 남해군,3,True,survey
651006,춘천시전략작물실태조사,농림,강원특별자치도 춘천시,3,True,survey
204011,인천광역시장애인통계,복지,인천광역시,4,True,survey
