INSTITUTION_ID,INSTITUTION_NM,TYPE,LABEL
INST_0127,국토교통부,중앙행정기관,institution
INST_0128,국토안전관리원,공사/공단,institution
INST_0129,국토연구원,연구기관,institution
INST_0130,근로복지공단,공사/공단,institution
INST_0131,기상청,중앙행정기관,institution
INST_0132,기획재정부,중앙행정기관,institution
INST_0133,농림축산식품부,중앙행정기관,institution
INST_0134,농촌진흥청,중앙행정기관,institution
INST_0135,대구광역시,지방자치단체,institution
INST_0136,대구광역시 군위군,지방자치단체,institution
INST_0137,대구광역시 남구,지방자치단체,institution
INST_0138,대구광역시 달서구,지방자치단체,institution
INST_0139,대구광역시 달성군,지방자치단체,institution
INST_0140,대구광역시 동구,지방자치단체,institution
INST_0141,대구광역시 북구,지방자치단체,institution
INST_0142,대구광역시 서구,지방자치단체,institution
INST_0143,대구광역시 수성구,지방자치단체,institution
INST_0144,대구광역시 중구,지방자치단체,institution
INST_0145,대전광역시,지방자치단체,institution
INST_0146,대전광역시 대덕구,지방자치단체,institution
INST_0147,대전광역시 동구,지방자치단체,institution
INST_0148,대전광역시 서구,지방자치단체,institution
INST_0149,대전광역시 유성구,지방자치단체,institution
INST_0150,대전광역시 중구,지방자치단체,institution
INST_0151,대한건설협회,협회/조합,institution
INST_0152,대한기계설비건설협회,협회/조합,institution
INST_0153,대한법률구조공단,공사/공단,institution
INST_0154,대한적십자사,기타기관,institution
INST_0155,대한전문건설협회,협회/조합,institution
INST_0156,문화재청,중앙행정기관,institution
INST_0157,문화체육관광부,중앙행정기관,institution
INST_0158,방송통신위원회,중앙행정기관,institution
INST_0159,방위사업청,중앙행정기관,institution
INST_0160,법무부,중앙행정기관,institution
INST_0161,병무청,중앙행정기관,institution
INST_0162,보건복지부,중앙행정기관,institution
INST_0163,보험개발원,금융기관,institution
INST_0164,부산광역시,지방자치단체,institution
INST_0165,부산광역시,중앙행정기관,institution
INST_0166,부산광역시 강서구,지방자치단체,institution
INST_0167,부산광역시 금정구,지방자치단체,institution
INST_0168,부산광역시 기장군,지방자치단체,institution
INST_0169,부산광역시 남구,지방자치단체,institution
INST_0170,부산광역시 동구,지방자치단체,institution
INST_0171,부산광역시 동래구,지방자치단체,institution
INST_0172,부산광역시 부산진구,지방자치단체,institution
INST_0173,부산광역시 북구,지방자치단체,institution
INST_0174,부산광역시 사상구,지방자치단체,institution
INST_0175,부산광역시 사하구,지방자치단체,institution
INST_0176,부산광역시 서구,지방자치단체,institution
INST_0177,부산광역시 수영구,지방자치단체,institution
INST_0178,부산광역시 연제구,지방자치단체,institution
INST_0179,부산광역시 영도구,지방자치단체,institution
INST_0180,부산광역시 중구,지방자치단체,institution
INST_0181,부산광역시 해운대구,지방자치단체,institution
INST_0182,부산항만공사,공사/공단,institution
INST_0183,북한이탈주민지원재단(남북하나재단),기타기관,institution
INST_0184,산림청,중앙행정기관,institution
INST_0185,산업연구원,연구기관,institution
INST_0186,산업통상자원부,중앙행정기관,institution
INST_0187,생명보험협회,협회/조합,institution
INST_0188,서울특별시,지방자치단체,institution
INST_0189,서울특별시 강남구,지방자치단체,institution
INST_0190,서울특별시 강동구,지방자치단체,institution
INST_0191,서울특별시 강북구,지방자치단체,institution
INST_0192,서울특별시 강서구,지방자치단체,institution
INST_0193,서울특별시 관악구,지방자치단체,institution
INST_0194,서울특별시 광진구,지방자치단체,institution
INST_0195,서울특별시 구로구,지방자치단체,institution
INST_0196,서울특별시 금천구,지방자치단체,institution
INST_0197,서울특별시 노원구,지방자치단체,institution
INST_0198,서울특별시 도봉구,지방자치단체,institution
INST_0199,서울특별시 동대문구,지방자치단체,institution
INST_0200,서울특별시 동작구,지방자치단체,institution
INST_0201,서울특별시 마포구,지방자치단체,institution
INST_0202,서울특별시 서대문구,지방자치단체,institution
INST_0203,서울특별시 서초구,지방자치단체,institution
INST_0204,서울특별시 성동구,지방자치단체,institution
INST_0205,서울특별시 성북구,지방자치단체,institution
INST_0206,서울특별시 송파구,지방자치단체,institution
INST_0207,서울특별시 양천구,지방자치단체,institution
INST_0208,서울특별시 영등포구,지방자치단체,institution
INST_0209,서울특별시 용산구,지방자치단체,institution
INST_0210,서울특별시 은평구,지방자치단체,institution
INST_0211,서울특별시 종로구,지방자치단체,institution
INST_0212,서울특별시 중구,지방자치단체,institution
INST_0213,서울특별시 중랑구,지방자치단체,institution
