통계표ID,통계표명,승인번호,기관코드,주기,시작연도,마지막연도,지역,연령대,대상,구분
DT_1SF105,가구원수별 임가수,13002,101,부정기,2013,2013,,,"가구원수,임가수",가구원수별
DT_1SF105_01,"임가수, 가구원수",13002,101,부정기,2013,2013,,,"임가수,가구원수",가구원수별
DT_1SF106,세대구성별 임가수,13002,101,부정기,2013,2013,,,임가수,세대구성별
DT_1SF108,경영주연령(5세계급)별/교육정도별 임가수,13002,101,부정기,2013,2013,,,임가수,"경영주연령별,교육정도별"
DT_1SF202,경영주임업종사기간별 임가수,13002,101,부정기,2013,2013,,,임가수,경영주임업종사기간별
DT_1SF205,임산물판매금액별 임가수,13002,101,부정기,2013,2013,,,임가수,임산물판매금액별
DT_1SF301,"연령(각세)별/성별 임가인구,성비",13002,101,부정기,2013,2013,,,임가인구,"연령별,성별"
DT_1SF302,연령(5세계급)별/성별 임가인구,13002,101,부정기,2013,2013,,,임가인구,"연령별,성별"
DT_1SF501,임산물재배품목별 임가수,13002,101,부정기,2013,2013,,,임가수,임산물재배품목별
DT_1SF501_01,임산물재배품목별 재배면적,13002,101,부정기,2013,2013,,,재배면적,임산물재배품목별
DT_1SL1001,성별/거처종류별 1인 가구수,13002,101,부정기,2013,2013,,,1인가구수,"성별,거처종류별"
DT_1SL1002,성별/연령별/교육정도별 1인가구수,13002,101,부정기,2013,2013,,,1인가구수,"성별,연령별,교육정도별"
DT_1SL1003,성별/연령별/혼인상태별 1인가구수(15세이상),13002,101,부정기,2013,2013,,15세이상,1인가구수,"성별,연령별,혼인상태별"
DT_1SN1001,"인구, 가구수, 주택수",13002,101,부정기,2013,2013,,,"인구,가구수,주택수",행정구역별
DT_1SN1002,연령별 성별 인구,13002,101,부정기,2013,2013,,,인구,"연령별,성별"
DT_1SN1003,성별/연령별/교육정도별 인구(6세이상),13002,101,부정기,2013,2013,,6세이상,인구,"성별,연령별,교육정도별"
DT_1SN1004,성별/연령별/혼인상태별 인구(15세이상),13002,101,부정기,2013,2013,,15세이상,인구,"성별,연령별,혼인상태별"
DT_1SN1005,성별/연령별/가구주와의 관계별 인구,13002,101,부정기,2013,2013,,,인구,"성별,연령별,가구주와의관계별"
DT_1SN1006,가구주와의 관계별/성별/혼인상태별 인구,13002,101,부정기,2013,2013,,,"가구주,성별,혼인상태별인구","가구주와의관계별,성별,혼인상태별"
DT_1SR101,총가구수별 행정리수,13002,101,부정기,2013,2013,,,"행정리,총가구수",총가구수별
DT_1SR102,농가수별 행정리수,13002,101,부정기,2013,2013,,,"농가수,행정리수",행정리별
DT_1SR103,임가수별 행정리수,13002,101,부정기,2013,2013,,,행정리,임가수별
DT_1SU1001,주택의 종류별 주택수,13002,101,부정기,2013,2013,,,주택수,종류별
DT_1SU1002,"거처종류별 거처수, 가구수, 가구원수",13002,101,부정기,2013,2013,,,"거처수,가구수,가구원수",거처종류별
DT_1SU1003,주택종류별/연면적별/거주인수별 주택수,13002,101,부정기,2013,2013,,,주택수,"주택종류별,연면적별,거주인수별"
DT_1SU1003_01,주택종류별/연면적별 평균 거주인수,13002,101,부정기,2013,2013,,,거주인수,"주택종류별,연면적별"
DT_1SU1004,주택종류별/총방수별 주택수,13002,101,부정기,2013,2013,,,주택수,"주택종류별,총방수별"
DT_1SU1005,주택종류별/연면적별/총방수별 주택수,13002,101,부정기,2013,2013,,,주택수,"주택종류별,연면적별,총방수별"
DT_1B08024,인구밀도(인구주택총조사기준) - 시도,101001,101,년,1966,2023,,,인구,행정구역별
DT_1B90001,행정구역/가구규모/성별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,"가구,인구","행정구역별,가구규모별,성별"
DT_1B90003,대도시/통근통학/성/이용교통수단별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,통근통학인구,"이용교통수단별,성,대도시통근통학"
DT_1B90005,시도/소요시간/이용교통수단별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,통근통학인구,"행정구역별,소요시간별,이용교통수단별"
DT_1B90007,시도/점유형태/이용교통수단별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,통근통학인구,"시도별,점유형태별,이용교통수단별"
DT_1B90008,시도/성/직업/이용교통수단별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,통근통학인구,"시도별,성별,직업별,이용교통수단별"
DT_1B90009,시도/성/산업/이용교통수단별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,통근통학인구,"시도별,성별,산업별,이용교통수단별"
DT_1B9000A,시도/성/소요시간/학교별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,통근통학인구,"행정구역별,성별,학교별"
DT_1B9000D,"현거주지/성/목적지별 통근·통학인구(서울,인천,경기,12세이상)",101001,101,5년,1995,1995,"경기, 서울, 인천",12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B9000E,"현거주지/성/목적지별 통근·통학인구(부산,경남,12세이상)",101001,101,5년,1995,1995,,12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B9000F,"현거주지/성/목적지별 통근·통학인구(대구,경북,12세이상)",101001,101,5년,1995,1995,"경북, 대구",12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B9000G,"현거주지/성/목적지별 통근·통학인구(광주,전남,12세이상)",101001,101,5년,1995,1995,"광주, 전남",12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B9000H,"현거주지/성/목적지별 통근·통학인구(대전,충남,12세이상)",101001,101,5년,1995,1995,"대전, 충남",12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B9000I,"현거주지/성/목적지별 통근·통학인구(강원도,12세이상)",101001,101,5년,1995,1995,강원,12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B9000J,"현거주지/성/목적지별 통근·통학인구(충청북도,12세이상)",101001,101,5년,1995,1995,충북,12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B9000K,"현거주지/성/목적지별 통근·통학인구(전라북도,12세이상)",101001,101,5년,1995,1995,전북,12세이상,통근통학인구,"현거주지별,성별,목적지별"
DT_1B9000L,"현거주지/성/목적지별 통근·통학인구(제주도,12세이상)",101001,101,5년,1995,1995,제주,12세이상,통근통학인구,"현거주지별,목적지별"
DT_1B90010,행정구역/성/학교/이용교통수단별 통근·통학인구(12세이상),101001,101,5년,1995,1995,,12세이상,통근통학인구,"행정구역별,성별,학교별,이용교통수단별"
DT_1B90012,행정구역/성/상주(야간)및 주간인구(12세이상),101001,101,5년,1995,1995,,12세이상,"행정구역,성,상주,야간,주간인구","행정구역별,성별,시간대별"
DT_1B90014,시도/성/연령/이용교통수단별 통근·통학인구,101001,101,5년,1995,1995,,,통근통학인구,"시도별,성별,연령별,이용교통수단별"
DT_1BA0501,성/연령/혼인상태/경제활동상태별 인구(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,인구,"성별,연령별,혼인상태별,경제활동상태별"
DT_1BA0502,성/교육정도/경제활동상태별 인구(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,인구,"성별,교육정도별,경제활동상태별"
DT_1BA0503,성/연령/산업별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,연령별,산업별,행정구역별"
DT_1BA0504,성/연령/직업별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,연령별,직업별,시도별"
DT_1BA0505,성/직업/산업별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,직업별,산업별,시도별"
DT_1BA0506,성/교육정도/산업별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,교육정도별,산업별,시도별"
DT_1BA0507,성/교육정도/직업별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,교육정도별,직업별,시도별"
DT_1BA0508,현거주지/근무지/산업별 취업자(15세이상)-시군구,101001,101,5년,2005,2005,,15세이상,취업자,"현거주지별,근무지별,산업별,행정구역별"
DT_1BA0509,현거주지/근무지/직업별 취업자(15세이상)-시군구,101001,101,5년,2005,2005,,15세이상,취업자,"현거주지별,근무지별,직업별"
DT_1BA0510,성/교육정도/종사상 지위별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,교육정도별,종사상지위별,시도별"
DT_1BA0511,성/연령/혼인상태/종사상의 지위별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,연령별,혼인상태별,종사상지위별,시도별"
DT_1BA0512,성/종사상의 지위/근로장소별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"취업자별,시도별"
DT_1BA0513,성/연령/근로장소별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,연령별,근로장소별,시도별"
DT_1BA0514,성/교육정도/근로장소별 취업자(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,취업자,"성별,교육정도별,근로장소별,시도별"
DT_1BA0515,세대구성/경제활동상태별 여성인구(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,여성인구,"세대구성별,경제활동상태별,시도별"
DT_1BA0516,가구원수/취업자수별 가구(일반가구)-시도,101001,101,5년,2005,2005,,,"가구원수,취업자수,가구","가구원수별,취업자수별,가구유형별,시도별"
DT_1BA0517,가구주 부부의 경제활동상태/산업별 가구(일반가구)-시도,101001,101,5년,2005,2005,,,"가구주부부,일반가구","산업별,행정구역별"
DT_1BA0518,가구주 부부의 경제활동상태/직업별 가구(일반가구)-시도,101001,101,5년,2005,2005,,,"경제활동상태,직업,가구","경제활동상태별,직업별,가구유형별,행정구역별"
DT_1BA0519,거처의 종류/가구주의 종사상의 지위(일반가구)-시도,101001,101,5년,2005,2005,,,"거처종류,일반가구","거처종류별,가구주종사상지위별,시도별"
DT_1BA0520,성/연령/경제활동상태별 인구(15세이상)-시도,101001,101,5년,2005,2005,,15세이상,인구,"성별,연령별,경제활동상태별,시도별"
DT_1BA9501,시도/성/연령/경제활동상태별 인구(15세이상),101001,101,5년,1995,1995,,15세이상,인구,"시도별,성별,연령별,경제활동상태별"
DT_1BA9502,시도/성/연령/종사상 지위별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"시도별,성별,연령별,종사상지위별"
DT_1BA9503,시도/성/취업상태/산업별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"시도별,성별,취업상태별,산업별"
DT_1BA9504,시도/성/취업상태/직업별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"행정구역별,성별,취업상태별,직업별"
DT_1BA9505,시도/성/취업상태/종사상의 지위별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"행정구역별,성별,취업상태별,종사상의지위별"
DT_1BA9506,시도/성/직업/산업별 취업자(15세 이상),101001,101,5년,1995,1995,,15세 이상,취업자,"시도별,성별,직업별,산업별"
DT_1BA9507,시도/성/연령/산업별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"시도별,성별,연령별,산업별"
DT_1BA9508,시도/성/연령/직업별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"시도별,성별,연령별,직업별"
DT_1BA9509,"시도/성/연령,혼인상태/경제활동상태별 인구(15세 이상)",101001,101,5년,1995,1995,,15세 이상,인구,"행정구역별,성별,연령별,혼인상태별,경제활동상태별"
DT_1BA9510,"시도/성/연령,혼인상태/종사상의 지위별 취업자(15세 이상)",101001,101,5년,1995,1995,,15세 이상,취업자,"행정구역별,성별,연령및혼인상태별,종사상지위별"
DT_1BA9511,"시도/성/연령,혼인상태/산업별 취업자(15세이상)",101001,101,5년,1995,1995,,15세이상,취업자,"행정구역별,성별,연령및혼인상태별,산업별"
DT_1BA9512,"시도/성/연령,혼인상태/직업별 취업자(15세이상)",101001,101,5년,1995,1995,,15세이상,취업자,"행정구역별,성별,연령및혼인상태별,직업별"
DT_1BA9513,시도/성/교육정도/경제활동상태별 인구(15세이상),101001,101,5년,1995,1995,,15세이상,인구,"시도별,성별,교육정도별,경제활동상태별"
DT_1BA9514,시도/성/교육정도/종사상의 지위별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"시도별,성별,교육정도별,종사상의지위별"
DT_1BA9515,시도/성/교육정도/산업별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"행정구역별,성별,교육정도별,산업별"
DT_1BA9516,시도/성/교육정도/직업별 취업자(15세이상),101001,101,5년,1995,1995,,15세이상,취업자,"시도별,성별,교육정도별,직업별"
DT_1BA9517,시도/거처의 종류/가구의 규모/취업자수별 가구(일반가구),101001,101,5년,1995,1995,,,"가구,취업자수","시도별,거처의종류별,가구의규모별,취업자수별"
DT_1BA9518,시도/가구주의 성/경제활동상태/가구의 규모별 가구(일반가구),101001,101,5년,1995,1995,,,가구,"시도별,가구주성별,경제활동상태별,가구의규모별"
DT_1BA9519,시도/가구주의 성/종사상의 지위/거처의 종류별 가구(일반가구),101001,101,5년,1995,1995,,,가구,"시도별,가구주의성별,종사상의지위별,거처의종류별"
DT_1BA9520,시도/세대구성/가구주의 직업별 가구(일반가구),101001,101,5년,1995,1995,,,가구,"시도별,세대구성별,가구주의직업별"
DT_1BA9521,시도/세대구성/경제활동상태별 여성인구(15세 이상),101001,101,5년,1995,1995,,15세 이상,여성인구,"시도별,세대구성별,경제활동상태별"
DT_1BA9522,시도/가구주 부부의 경제활동상태 및 산업별 가구(일반가구),101001,101,5년,1995,1995,,,"가구,가구주부부의경제활동상태,산업별가구","행정구역별,가구주부부경제활동상태별,산업별"
